taxa,stat,lower,median,upper,Nes,pA,n,name
withD,Sb_est,7.722984658322001,8.49670618922,9.619574756002,50,0.01,20,dDFE
withD,pa_est,0.046212266258000005,0.05294045147,0.05878221496,50,0.01,20,dDFE
withD,b,0.30612808398799995,0.33129896645,0.349561154866,50,0.01,20,dDFE
withD,S_d,-2521.03348558,-1941.5859873,-1645.1950847,50,0.01,20,dDFE
withD,alpha_dfe,0.8621994000000001,0.877648,0.888763,50,0.01,20,dDFE
withD,alpha_div,0.8621972,0.877662,0.8887688,50,0.01,20,dDFE
withD,propSig,1.0,1.0,1.0,50,0.01,20,dDFE
noD,Sb_est,5.199104221055,7.527812827819999,11.939430961499994,50,0.01,20,dDFE
noD,pa_est,0.046142974655750006,0.05623241713,0.068956140735,50,0.01,20,dDFE
noD,b,0.31147905599975,0.33725559512500003,0.37097048547775,50,0.01,20,dDFE
noD,S_d,-2288.7980189025,-1844.82606445,-1546.5148231425,50,0.01,20,dDFE
noD,alpha_dfe,0.861650525,0.8767925,0.8921624,50,0.01,20,dDFE
noD,alpha_div,0.8653777,0.8825344999999999,0.9024594000000001,50,0.01,20,dDFE
noD,propSig,1.0,1.0,1.0,50,0.01,20,dDFE
withD,Sb_est,0.0,0.0,0.0,1000,0.001,20,full_DFE
withD,pa_est,0.0,0.0,0.0,1000,0.001,20,full_DFE
withD,b,0.011080416836,0.011911398725,0.0125770798455,1000,0.001,20,full_DFE
withD,S_d,-375.91097148150004,-227.13870373,-128.229179966,1000,0.001,20,full_DFE
withD,alpha_dfe,0.0,0.0,0.0,1000,0.001,20,full_DFE
withD,alpha_div,0.0910256,0.0997355,0.1065115,1000,0.001,20,full_DFE
withD,product,0.0,0.0,0.0,1000,0.001,20,full_DFE
noD,Sb_est,0.0,0.0,0.0,1000,0.001,20,full_DFE
noD,pa_est,0.0,0.0,0.0,1000,0.001,20,full_DFE
noD,b,0.15863175733075,0.16892593219000002,0.18334146405725,1000,0.001,20,full_DFE
noD,S_d,-16867.058928875,-11077.8016325,-6927.128085560003,1000,0.001,20,full_DFE
noD,alpha_dfe,0.0,0.0,0.0,1000,0.001,20,full_DFE
noD,alpha_div,0.824612175,0.8308709999999999,0.8387181999999999,1000,0.001,20,full_DFE
noD,product,0.0,0.0,0.0,1000,0.001,20,full_DFE
withD,Sb_est,0.0,0.0,0.0,50,0.01,20,full_DFE
withD,pa_est,0.0,0.0,0.0,50,0.01,20,full_DFE
withD,b,0.063285651554,0.06364852575,0.06393054964599999,50,0.01,20,full_DFE
withD,S_d,-99960.9564832,-99576.910996,-97797.1432922,50,0.01,20,full_DFE
