alleles,count,class,site
1,63323,neutral,syn
2,30448,neutral,syn
3,19172,neutral,syn
4,13905,neutral,syn
5,10563,neutral,syn
6,8591,neutral,syn
7,7178,neutral,syn
8,5988,neutral,syn
9,5259,neutral,syn
10,4596,neutral,syn
11,4072,neutral,syn
12,3592,neutral,syn
13,3330,neutral,syn
14,3048,neutral,syn
15,2655,neutral,syn
16,2617,neutral,syn
17,2327,neutral,syn
18,2213,neutral,syn
19,2023,neutral,syn
20,1858,neutral,syn
21,1814,neutral,syn
22,1767,neutral,syn
23,1581,neutral,syn
24,1611,neutral,syn
25,1327,neutral,syn
26,1374,neutral,syn
27,1282,neutral,syn
28,1191,neutral,syn
29,1174,neutral,syn
30,1183,neutral,syn
31,1091,neutral,syn
32,1032,neutral,syn
33,973,neutral,syn
34,1021,neutral,syn
35,963,neutral,syn
36,906,neutral,syn
37,835,neutral,syn
38,801,neutral,syn
39,894,neutral,syn
40,761,neutral,syn
41,796,neutral,syn
42,726,neutral,syn
43,746,neutral,syn
44,669,neutral,syn
45,667,neutral,syn
46,625,neutral,syn
47,621,neutral,syn
48,620,neutral,syn
49,556,neutral,syn
50,595,neutral,syn
51,566,neutral,syn
52,557,neutral,syn
53,520,neutral,syn
54,545,neutral,syn
55,535,neutral,syn
56,572,neutral,syn
57,573,neutral,syn
58,470,neutral,syn
59,513,neutral,syn
60,525,neutral,syn
61,519,neutral,syn
62,507,neutral,syn
63,500,neutral,syn
64,458,neutral,syn
65,476,neutral,syn
66,467,neutral,syn
67,426,neutral,syn
68,380,neutral,syn
69,433,neutral,syn
70,453,neutral,syn
71,441,neutral,syn
72,429,neutral,syn
73,417,neutral,syn
74,457,neutral,syn
75,433,neutral,syn
76,453,neutral,syn
77,435,neutral,syn
78,400,neutral,syn
79,425,neutral,syn
80,369,neutral,syn
81,456,neutral,syn
82,423,neutral,syn
83,410,neutral,syn
84,419,neutral,syn
85,428,neutral,syn
86,401,neutral,syn
87,419,neutral,syn
88,400,neutral,syn
89,394,neutral,syn
90,378,neutral,syn
91,371,neutral,syn
92,416,neutral,syn
93,418,neutral,syn
94,407,neutral,syn
95,454,neutral,syn
96,393,neutral,syn
97,408,neutral,syn
98,437,neutral,syn
99,444,neutral,syn
1,46397,deleterious,nonsyn
2,16464,deleterious,nonsyn
3,8818,deleterious,nonsyn
4,5784,deleterious,nonsyn
5,4129,deleterious,nonsyn
6,3265,deleterious,nonsyn
7,2611,deleterious,nonsyn
8,2118,deleterious,nonsyn
9,1656,deleterious,nonsyn
10,1495,deleterious,nonsyn
11,1344,deleterious,nonsyn
12,1155,deleterious,nonsyn
13,1029,deleterious,nonsyn
14,888,deleterious,nonsyn
15,808,deleterious,nonsyn
16,758,deleterious,nonsyn
17,689,deleterious,nonsyn
18,614,deleterious,nonsyn
19,519,deleterious,nonsyn
20,538,deleterious,nonsyn
21,482,deleterious,nonsyn
22,413,deleterious,nonsyn
23,410,deleterious,nonsyn
24,359,deleterious,nonsyn
25,340,deleterious,nonsyn
26,391,deleterious,nonsyn
27,315,deleterious,nonsyn
28,324,deleterious,nonsyn
29,287,deleterious,nonsyn
30,263,deleterious,nonsyn
31,246,deleterious,nonsyn
32,268,deleterious,nonsyn
33,256,deleterious,nonsyn
34,241,deleterious,nonsyn
35,208,deleterious,nonsyn
36,236,deleterious,nonsyn
37,184,deleterious,nonsyn
38,207,deleterious,nonsyn
39,191,deleterious,nonsyn
40,167,deleterious,nonsyn
41,174,deleterious,nonsyn
42,167,deleterious,nonsyn
43,141,deleterious,nonsyn
44,174,deleterious,nonsyn
45,138,deleterious,nonsyn
46,158,deleterious,nonsyn
47,148,deleterious,nonsyn
48,140,deleterious,nonsyn
49,153,deleterious,nonsyn
50,132,deleterious,nonsyn
51,117,deleterious,nonsyn
52,108,deleterious,nonsyn
53,124,deleterious,nonsyn
54,128,deleterious,nonsyn
55,122,deleterious,nonsyn
56,101,deleterious,nonsyn
57,134,deleterious,nonsyn
58,112,deleterious,nonsyn
59,102,deleterious,nonsyn
60,93,deleterious,nonsyn
61,122,deleterious,nonsyn
62,101,deleterious,nonsyn
63,98,deleterious,nonsyn
64,104,deleterious,nonsyn
65,94,deleterious,nonsyn
66,102,deleterious,nonsyn
67,84,deleterious,nonsyn
68,108,deleterious,nonsyn
69,97,deleterious,nonsyn
70,96,deleterious,nonsyn
71,101,deleterious,nonsyn
72,101,deleterious,nonsyn
73,102,deleterious,nonsyn
74,78,deleterious,nonsyn
75,97,deleterious,nonsyn
76,99,deleterious,nonsyn
77,82,deleterious,nonsyn
78,95,deleterious,nonsyn
79,85,deleterious,nonsyn
80,85,deleterious,nonsyn
81,78,deleterious,nonsyn
82,78,deleterious,nonsyn
83,80,deleterious,nonsyn
84,99,deleterious,nonsyn
85,94,deleterious,nonsyn
