S,pA,i,SFS_i
0.,0.0001,1,1.000001219493909e-6
0.,0.0001,2,5.000012194948037e-7
0.,0.0001,3,3.333345528291146e-7
0.,0.0001,4,2.5000121949676155e-7
0.,0.0001,5,2.0000121949773373e-7
0.,0.0001,6,1.6666788616525378e-7
0.,0.0001,7,1.4285836235617387e-7
0.,0.0001,8,1.250012195005604e-7
0.,0.0001,9,1.1111233061265572e-7
0.,0.0001,10,1.0000121950250714e-7
0.,0.0001,11,9.091031041257715e-8
0.,0.0001,12,8.333455283778626e-8
0.,0.0001,13,7.692429642850395e-8
0.,0.0001,14,7.142979093496413e-8
0.,0.0001,15,6.666788617402638e-8
0.,0.0001,16,6.250121950832514e-8
0.,0.0001,17,5.8824748921061315e-8
0.,0.0001,18,5.555677506580888e-8
0.,0.0001,19,5.2632798458583976e-8
0.,0.0001,20,5.000121951220203e-8
0.,0.0001,21,4.762026713221546e-8
0.,0.0001,22,4.5455764968661476e-8
0.,0.0001,23,4.34794803846524e-8
0.,0.0001,24,4.166788618273139e-8
0.,0.0001,25,4.000121951702698e-8
0.,0.0001,26,3.846275797953443e-8
0.,0.0001,27,3.7038256556001896e-8
0.,0.0001,28,3.571550523422034e-8
0.,0.0001,29,3.448397814159223e-8
0.,0.0001,30,3.3334552855208956e-8
0.,0.0001,31,3.225928403897466e-8
0.,0.0001,32,3.125121952381762e-8
0.,0.0001,33,3.030424982781286e-8
0.,0.0001,34,2.9412984231505432e-8
0.,0.0001,35,2.8572648098125836e-8
0.,0.0001,36,2.777899730545479e-8
0.,0.0001,37,2.70282465556776e-8
0.,0.0001,38,2.631700900332861e-8
0.,0.0001,39,2.564224517169599e-8
