S,pA,i,SFS_i
500,0.0001,1,1.0256410256410284e-6
500,0.0001,2,5.263157894736837e-7
500,0.0001,3,3.6036036036037553e-7
500,0.0001,4,2.777777777778225e-7
500,0.0001,5,2.2857142857148107e-7
500,0.0001,6,1.960784313723886e-7
500,0.0001,7,1.731601731593109e-7
500,0.0001,8,1.5625000000000028e-7
500,0.0001,9,1.4336917562724996e-7
500,0.0001,10,1.333333333333255e-7
500,0.0001,11,1.2539184952978475e-7
500,0.0001,12,1.1904761904761887e-7
500,0.0001,13,1.1396011396011653e-7
500,0.0001,14,1.098901098901071e-7
500,0.0001,15,1.066666666666669e-7
500,0.0001,16,1.041666666666672e-7
500,0.0001,17,1.0230179028132977e-7
500,0.0001,18,1.010101010100977e-7
500,0.0001,19,1.0025062656641222e-7
500,0.0001,20,1.0000000000003566e-7
500,0.0001,21,1.0025062656641224e-7
500,0.0001,22,1.010101010100977e-7
500,0.0001,23,1.023017902813298e-7
500,0.0001,24,1.0416666666666718e-7
500,0.0001,25,1.066666666666669e-7
500,0.0001,26,1.0989010989010713e-7
500,0.0001,27,1.1396011396011649e-7
500,0.0001,28,1.190476190476184e-7
500,0.0001,29,1.253918495297754e-7
500,0.0001,30,1.333333333331427e-7
500,0.0001,31,1.4336917562380468e-7
500,0.0001,32,1.5624999993898317e-7
500,0.0001,33,1.7316017205035564e-7
500,0.0001,34,1.960784113047214e-7
500,0.0001,35,2.2857106545903485e-7
500,0.0001,36,2.777710927981089e-7
500,0.0001,37,3.6023213787456926e-7
500,0.0001,38,5.236119674485201e-7
500,0.0001,39,9.513013769171302e-7
