S,pA,i,SFS_i
50,0.0001,1,1.0025062656641677e-6
50,0.0001,2,5.025125628140732e-7
50,0.0001,3,3.358522250209933e-7
50,0.0001,4,2.5252525252525877e-7
50,0.0001,5,2.0253164556963473e-7
50,0.0001,6,1.6920473773267906e-7
50,0.0001,7,1.4540167211924056e-7
50,0.0001,8,1.2755102040811217e-7
50,0.0001,9,1.1366865586797314e-7
50,0.0001,10,1.0256410256410253e-7
50,0.0001,11,9.34797849964946e-8
50,0.0001,12,8.591065292096246e-8
50,0.0001,13,7.950705625124299e-8
50,0.0001,14,7.40192450051846e-8
50,0.0001,15,6.926406926407482e-8
50,0.0001,16,6.51041666666814e-8
50,0.0001,17,6.143449546924281e-8
50,0.0001,18,5.817335660275973e-8
50,0.0001,19,5.525625086355209e-8
50,0.0001,20,5.26315789476924e-8
50,0.0001,21,5.0257570047028256e-8
50,0.0001,22,4.810004810082394e-8
50,0.0001,23,4.61307807643475e-8
50,0.0001,24,4.432624113475173e-8
50,0.0001,25,4.266666666666689e-8
50,0.0001,26,4.1135335252982604e-8
50,0.0001,27,3.97180021844906e-8
50,0.0001,28,3.84024577572981e-8
50,0.0001,29,3.7178176410450296e-8
50,0.0001,30,3.603603603604043e-8
50,0.0001,31,3.4968091616404065e-8
50,0.0001,32,3.396739130451593e-8
50,0.0001,33,3.302782594335125e-8
50,0.0001,34,3.214400502122344e-8
50,0.0001,35,3.131115459882593e-8
50,0.0001,36,3.052503052503014e-8
50,0.0001,37,2.9781847963671193e-8
50,0.0001,38,2.9078220412918084e-8
50,0.0001,39,2.8411108743522894e-8
50,0.0001,40,2.7777777777778985e-8
50,0.0001,41,2.7175759222773153e-8
50,0.0001,42,2.6602819894479278e-8
50,0.0001,43,2.6056934401667423e-8
50,0.0001,44,2.5536261491317704e-8
50,0.0001,45,2.5039123630673313e-8
50,0.0001,46,2.456398919184582e-8
50,0.0001,47,2.410945694297769e-8
50,0.0001,48,2.367424242444213e-8
50,0.0001,49,2.325716611440319e-8
50,0.0001,50,2.2857142857187443e-8
50,0.0001,51,2.247317265019766e-8
50,0.0001,52,2.2104332449264856e-8
50,0.0001,53,2.1749768908933074e-8
50,0.0001,54,2.140869192920765e-8
50,0.0001,55,2.1080368907338512e-8
50,0.0001,56,2.0764119602960464e-8
50,0.0001,57,2.0459311547085248e-8
50,0.0001,58,2.016535592358822e-8
50,0.0001,59,1.988170387049571e-8
50,0.0001,60,1.9607843150974533e-8
50,0.0001,61,1.9343295151724894e-8
50,0.0001,62,1.908761217176415e-8
50,0.0001,63,1.8840374923429547e-8
50,0.0001,64,1.860119047613485e-8
50,0.0001,65,1.8369690011395447e-8
50,0.0001,66,1.8145527127446613e-8
50,0.0001,67,1.792837613733141e-8
50,0.0001,68,1.7717930545712313e-8
50,0.0001,69,1.7513901659438726e-8
50,0.0001,70,1.731601731601737e-8
50,0.0001,71,1.7124020720065112e-8
50,0.0001,72,1.6937669376688846e-8
50,0.0001,73,1.6756734112511546e-8
50,0.0001,74,1.6580998176080313e-8
50,0.0001,75,1.6410256410249044e-8
50,0.0001,76,1.624431448992423e-8
50,0.0001,77,1.608298821920939e-8
50,0.0001,78,1.5926102882624566e-8
50,0.0001,79,1.577349264560988e-8
50,0.0001,80,1.562500000000114e-8
50,0.0001,81,1.5480475250591342e-8
50,0.0001,82,1.5339776037105064e-8
50,0.0001,83,1.5202766902467725e-8
50,0.0001,84,1.5069318866326342e-8
50,0.0001,85,1.4939309056876113e-8
50,0.0001,86,1.4812620352588313e-8
50,0.0001,87,1.4689141052577565e-8
50,0.0001,88,1.456876456886593e-8
50,0.0001,89,1.4451389139863255e-8
50,0.0001,90,1.4336917562782213e-8
50,0.0001,91,1.4225256943742546e-8
50,0.0001,92,1.4116318464169715e-8
50,0.0001,93,1.401001716228362e-8
50,0.0001,94,1.3906271728558776e-8
50,0.0001,95,1.3805004314070964e-8
50,0.0001,96,1.3706140350882719e-8
50,0.0001,97,1.3609608383522888e-8
50,0.0001,98,1.3515339910801597e-8
50,0.0001,99,1.3423269237224488e-8
50,0.0001,100,1.3333333333334244e-8
50,0.0001,101,1.3245471704357584e-8
50,0.0001,102,1.3159626266613727e-8
50,0.0001,103,1.3075741231080088e-8
50,0.0001,104,1.2993762993761102e-8
50,0.0001,105,1.2913640032280801e-8
50,0.0001,106,1.2835322808363344e-8
50,0.0001,107,1.2758763675791978e-8
50,0.0001,108,1.2683916793495136e-8
50,0.0001,109,1.2610738043430667e-8
50,0.0001,110,1.2539184952963296e-8
50,0.0001,111,1.2469216621452453e-8
50,0.0001,112,1.240079365079591e-8
50,0.0001,113,1.2333878079614932e-8
50,0.0001,114,1.2268433321064786e-8
50,0.0001,115,1.2204424103737699e-8
50,0.0001,116,1.2141816415736145e-8
50,0.0001,117,1.2080577451602784e-8
50,0.0001,118,1.2020675561965446e-8
50,0.0001,119,1.196208020574705e-8
50,0.0001,120,1.190476190476159e-8
50,0.0001,121,1.184869220059838e-8
50,0.0001,122,1.1793843613633921e-8
50,0.0001,123,1.1740189603899007e-8
50,0.0001,124,1.1687704534828715e-8
50,0.0001,125,1.1636363636362652e-8
50,0.0001,126,1.1586142973004499e-8
50,0.0001,127,1.153701941103528e-8
50,0.0001,128,1.1488970588233017e-8
50,0.0001,129,1.1441974884865077e-8
50,0.0001,130,1.1396011396011272e-8
50,0.0001,131,1.1351059905218454e-8
50,0.0001,132,1.1307100859339428e-8
50,0.0001,133,1.1264115344540941e-8
50,0.0001,134,1.1222085063406264e-8
50,0.0001,135,1.1180992313068835e-8
50,0.0001,136,1.1140819964352824e-8
50,0.0001,137,1.1101551441823863e-8
50,0.0001,138,1.1063170704693066e-8
50,0.0001,139,1.1025662228885435e-8
50,0.0001,140,1.0989010989055024e-8
50,0.0001,141,1.0953202442725557e-8
50,0.0001,142,1.0918222513756927e-8
50,0.0001,143,1.088405757745494e-8
50,0.0001,144,1.0850694459629494e-8
50,0.0001,145,1.0818120363828608e-8
50,0.0001,146,1.0786322954056475e-8
50,0.0001,147,1.0755290272020954e-8
50,0.0001,148,1.0725010744501677e-8
50,0.0001,149,1.0695473171961449e-8
50,0.0001,150,1.0666666717759786e-8
50,0.0001,151,1.0638580898004874e-8
50,0.0001,152,1.0611205572081737e-8
50,0.0001,153,1.0584530713276551e-8
50,0.0001,154,1.0558547144022352e-8
50,0.0001,155,1.053324555634532e-8
50,0.0001,156,1.0508617066022399e-8
50,0.0001,157,1.0484653089052623e-8
50,0.0001,158,1.0461345329013791e-8
50,0.0001,159,1.0438685769463737e-8
50,0.0001,160,1.041666666667231e-8
50,0.0001,161,1.039528054263315e-8
50,0.0001,162,1.0374520178440209e-8
50,0.0001,163,1.0354378607851489e-8
50,0.0001,164,1.0334849111200027e-8
50,0.0001,165,1.031592521519112e-8
50,0.0001,166,1.0297600659042009e-8
50,0.0001,167,1.0279869445652955e-8
50,0.0001,168,1.02627257799616e-8
50,0.0001,169,1.0246164092311436e-8
50,0.0001,170,1.0230179028058758e-8
50,0.0001,171,1.0214765443440074e-8
50,0.0001,172,1.0199918400643213e-8
50,0.0001,173,1.0185633164410746e-8
50,0.0001,174,1.017190519783137e-8
50,0.0001,175,1.0158730158716784e-8
50,0.0001,176,1.0146103896088738e-8
50,0.0001,177,1.0134022446842064e-8
50,0.0001,178,1.0122482032574382e-8
50,0.0001,179,1.0111479056255161e-8
50,0.0001,180,1.0101010100985034e-8
50,0.0001,181,1.0091071924086726e-8
50,0.0001,182,1.0081661457776606e-8
50,0.0001,183,1.0072775805156414e-8
50,0.0001,184,1.0064412238284027e-8
50,0.0001,185,1.0056568196056638e-8
50,0.0001,186,1.0049241282230609e-8
50,0.0001,187,1.0042429263579315e-8
50,0.0001,188,1.0036130068178193e-8
50,0.0001,189,1.0030341783819796e-8
50,0.0001,190,1.0025062656554908e-8
50,0.0001,191,1.0020291089355302e-8
50,0.0001,192,1.0016025640906632e-8
50,0.0001,193,1.0012265024519915e-8
